Parameter Value Listing:
 No   Type     Value
1719  Long               0
1720  Long               0
1721  Long               0
1722  Long               0
1723  Long               0
1724  Long               0
1725  Long               0
1726  Long               0
1727  Long               0
1728  Long               0
1729  Long               0
1730  Long               0
1731  Long               0
1732  Long               0
1733  Long               0
1734  Long               0
1735  Long               0
1736  Long               0
1737  Long               0
1738  Long               0
1739  Long               0
1740  Long               0
1741  Long               0
1742  Long               0
1743  Long               0
1744  Long               0
1745  Long               0
1746  Long               0
1747  Long               0
1748  Long               0
1749  Long               0
1750  Long               0
1751  Long               0
1752  Long               0
1753  Long               0
1754  Long               0
1755  Long               0
1756  Long               0
1757  Long               0
1758  Long               0
1759  Long               0
1760  Long               0
1761  Long               0
1762  Long               0
1763  Long               0
1764  Long               0
1765  Long               0
1766  Long               0
1767  Long               0
1768  Long               0
1769  Long               0
1770  Long               0
1771  Long               0
1772  Long               0
1773  Long               0
1774  Long               0
1775  Long               0
1776  Long               0
1777  Long               0
1778  Long               0
1779  Long               0
1780  Long               0
1781  Long               0
1782  Long               0
1783  Long               0
1784  Long               0
1785  Long               0
1786  Long               0
1787  Long               0
1788  Long               0
1789  Long               0
1790  Long               0
1791  Long               0
1792  Long               0
1793  Long               0
1794  Long               0
1795  Long               0
1796  Long               0
1797  Long               0
1798  Long               0
1799  Long               0
1800  Long        10000000
1801  Long        10000000
1802  Long        10000000
1803  Long         7200000
1804  Long         7200000
1805  Long        20000000
1806  Long            1016
1807  Long             760
1808  Long               4
1809  Long               3
1810  Long               5
1811  Long               0
1812  Long               2
1813  Long               1
1814  Long               1
1815  Long               1
1816  Long               0
1817  Long               0
1818  Long             744
1819  Long               0
1820  Long               0
1821  Long               0
1822  Long               0
1823  Long               0
1824  Long               0
1825  Long               0
1826  Long               0
1827  Long               0
1828  Long               0
1829  Long               0
1830  Long               0
1831  Long              50
1832  Long              50
1833  Long              50
1834  Long              50
1835  Long              50
1836  Long              50
1837  Long             500
1838  Long             500
1839  Long             500
1840  Long             500
1841  Long             500
1842  Long             500
1843  Long               0
1844  Long               0
1845  Long               0
1846  Long               0
1847  Long               0
1848  Long               0
1849  Long               0
1850  Long               0
1851  Long               0
1852  Long               0
1853  Long               0
1854  Long               0
1855  Long               0
1856  Long               0
1857  Long               0
1858  Long               0
1859  Long               0
1860  Long               0
1861  Long               0
1862  Long               0
1863  Long               0
1864  Long               0
1865  Long               0
1866  Long               0
1867  Long               0
1868  Long               0
1869  Long               0
1870  Long               0
1871  Long               0
1872  Long               0
1873  Long               0
1874  Long               0
1875  Long               0
1876  Long               0
1877  Long               0
1878  Long               0
1879  Long               0
1880  Long               0
1881  Long               0
1882  Long               0
1883  Long        10000000
1884  Long         6000000
1885  Long         6000000
1886  Long         6000000
1887  Long         5000000
1888  Long        10000000
1889  Long         8000000
1890  Long           50000
1891  Long           50000
1892  Long           50000
1893  Long           50000
1894  Long           50000
1895  Long           50000
1896  Long               1
1897  Long             200
1898  Long               0
1899  Long              93
1900  Long               0
1901  Long               0
1902  Long               0
1903  Long               0
1904  Long               0
1905  Long               0
1906  Long               0
1907  Long               0
1908  Long               0
1909  Long               0
1910  Long               0
1911  Long               0
1912  Long               0
1913  Long               0
1914  Long               0
1915  Long               0
1916  Long               0
1917  Long               0
1918  Long               0
1919  Long               0
1920  Long               0
1921  Long               0
1922  Long               0
1923  Long               0
1924  Long               1
1925  Long               1
1926  Long               0
1927  Long               0
1928  Long               0
1929  Long               0
1930  Long            2500
1931  Long               0
1932  Long               0
1933  Long               4
1934  Long               2
1935  Long               2
1936  Long               2
1937  Long               2
1938  Long               2
1939  Long               2
1940  Long              60
1941  Long              20
1942  Long               0
1943  Long              60
1944  Long         2000000
1945  Long          500000
1946  Long          800000
1947  Long               0
1948  Long               0
1949  Long               0
1950  Long               0
1951  Long               0
1952  Long               0
1953  Long               0
1954  Long               0
1955  Long               0
1956  Long               4
1957  Long               4
1958  Long               4
1959  Long               4
1960  Long               4
1961  Long               4
1962  Long               0
1963  Long               0
1964  Long               0
1965  Long               0
1966  Long               0
1967  Long               0
1968  Long           10000
1969  Long            2500
1970  Long           10000
1971  Long            2500
1972  Long           10000
1973  Long            2500
1974  Long           10000
1975  Long            2500
1976  Long           10000
1977  Long            2500
1978  Long           10000
1979  Long            2500
1980  Long             500
1981  Long             500
1982  Long             500
1983  Long             500
1984  Long             500
1985  Long             500
1986  Long               0
1987  Long               0
1988  Long               0
1989  Long               0
1990  Long               0
1991  Long               0
1992  Long               0
1993  Long               1
1994  Long               0
1995  Long               0
1996  Long               0
1997  Long               0
1998  Long               0
1999  Long               0
2000  Long               0
